             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1820284     short  ABL_i75  jjg9482 PD       0:00      1 (Dependency)
           1820283     short  ABL_i74  jjg9482 PD       0:00      1 (Dependency)
           1819956     short  ABF_i75  jjg9482 PD       0:00      1 (Dependency)
           1819955     short  ABF_i74  jjg9482 PD       0:00      1 (Dependency)
           1819599     short  ABE_i75  jjg9482 PD       0:00      1 (Dependency)
           1819598     short  ABE_i74  jjg9482 PD       0:00      1 (Dependency)
           1819381     short  ABC_i75  jjg9482 PD       0:00      1 (Dependency)
           1819380     short  ABC_i74  jjg9482 PD       0:00      1 (Dependency)
           1819306     short  ABB_i75  jjg9482 PD       0:00      1 (Dependency)
           1819229     short  ABA_i75  jjg9482 PD       0:00      1 (Dependency)
           1819228     short  ABA_i74  jjg9482 PD       0:00      1 (Dependency)
           1818996     short  AAW_i75  jjg9482 PD       0:00      1 (Dependency)
           1818995     short  AAW_i74  jjg9482 PD       0:00      1 (Dependency)
           1818678     short  AAS_i75  jjg9482 PD       0:00      1 (Dependency)
           1818677     short  AAS_i74  jjg9482 PD       0:00      1 (Dependency)
           1818087     short  AAJ_i75  jjg9482 PD       0:00      1 (Dependency)
           1818086     short  AAJ_i74  jjg9482 PD       0:00      1 (Dependency)
           1818085     short  AAJ_i73  jjg9482 PD       0:00      1 (Dependency)
           1817062     short  AAB_i75  jjg9482 PD       0:00      1 (Dependency)
           1817061     short  AAB_i74  jjg9482 PD       0:00      1 (Dependency)
           1816907     short   M4_i75  jjg9482 PD       0:00      1 (Dependency)
           1816828     short   M3_i75  jjg9482 PD       0:00      1 (Dependency)
           1816409     short   L2_i75  jjg9482 PD       0:00      1 (Dependency)
           1816310     short   L1_i75  jjg9482 PD       0:00      1 (Dependency)
           1881477     short 17e0aa3c  jjg9482  R    2:44:00      1 qnode0206
